month,category,amount
2025-09,Mora,6985.099999999999
2025-10,Gas,33670.28
2025-10,Mora,700.44
2025-11,Mantenimiento,129433.62
2025-11,Mora,1575.4
2025-11,Multa,500.0
2025-11,Semestral,7400.03
2025-11,ocasional,11406.11
2025-12,Gas,18502.92
2025-12,Mantenimiento,61250.0
2025-12,Mora,2800.0
2025-12,Semestral,31500.0
2026-01,Gas,21641.11
2026-01,Mantenimiento,61250.0
2026-01,Mora,2450.0
2026-01,Salon,100.0
2026-02,Gas,17187.09
2026-02,Mantenimiento,61250.0
2026-02,Mora,2450.0
2026-03,Gas,16588.16
2026-03,Mantenimiento,71750.0
2026-03,Mora,2255.0
2026-03,Salon,100.0
2026-04,Gas,16171.82
2026-04,Mantenimiento,71750.0
2026-04,Mora,3075.0
2026-04,Salon,200.0
2026-05,Mantenimiento,71750.0
2026-05,Mora,2665.0
2026-05,Multa,2400.0
2026-05,Salon,200.0
2026-06,Gas,35168.37
2026-06,Mantenimiento,71750.0
2026-06,Mora,2460.0
2026-06,Salon,200.0
2026-06,Semestral,35875.0
2026-07,Gas,20694.09
2026-07,Mantenimiento,71750.0
2026-07,Mora,2050.0
2026-07,Multa,2400.0
2026-07,Salon,100.0
2026-08,Gas,16292.91
2026-08,Mantenimiento,71750.0
2026-08,Mora,2870.0
2026-08,Salon,300.0
2026-09,Mantenimiento,71750.0
2026-09,Mora,2255.0
